OID_,Shape_Length,Shape_Area,Park Majority,Impervious_majority,Water_majority,Low_permeability,elevation_min
584,2000,250000,0,1,,1,24.08560944
585,2000,250000,0,1,,1,-0.589999974
586,129.9980603,724.8737247,0,1,,1,-0.666497231
587,2000,250000,0,1,,1,8.391564369
588,1718.951883,134905.7878,0,1,,1,-0.319999993
589,2000,250000,0,1,,1,49.42086411
590,2000,250000,0,1,,1,0.994931221
591,2000,250000,0,1,,1,4.556417465
592,469.4108778,9072.082065,0,1,,1,30.75709724
593,2000,250000,0,1,,1,20.23764038
594,2000,250000,0,1,,1,-0.486656725
595,2000,250000,0,1,,1,40.59187317
596,2000,250000,0,1,,1,12.90825081
597,2000,250000,0,1,,1,66.55197906
598,2000,250000,0,1,,1,11.25277233
599,2000,250000,0,1,,1,31.70718384
600,2000,250000,0,1,,1,21.40469933
601,2000,250000,0,1,,1,-0.479999989
602,1729.234701,143173.8903,0,1,,1,2.785807133
